ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
2009_Patron,Susan_LuckyBreaks_MG.txt	FIC	English	MID		2009	Patron	Susan	LuckyBreaks					F	
2009_Pullinger,Kate_MistressofNothing_PW.txt	FIC	English	PW		2009	Pullinger	Kate	MistressofNothing		McArthur&Co.	GovernorGeneralLiteraryAwardforfiction	Winner	F	Canada
2009_Roberts,Nora_VisioninWhite_BS.txt	FIC	English	BS		2009	Nora	Roberts	VisioninWhite					F	US
2009_Russell,Rachel_TalesfromaNotSoFabulousLife_MG.txt	FIC	English	MID		2009	Russell	Rachel	TalesfromaNotSoFabulousLife					F	
2009_Stockett,Kathryn_TheHelp_BS.txt	FIC	English	BS		2009	Kathryn	Stockett	TheHelp					F	US
2009_Walbert,Kate_ShortHistoryofWomen_NF.txt	NON	English	MIX		2009	Walbert	Kate	ShortHistoryofWomen					F	
2009_Walls,Jeannette_HalfBroke_BS.txt	FIC	English	BS		2009	Jeannette	Walls	HalfBroke					F	US
2009_Waters,Sarah_LittleStranger_PW.txt	FIC	English	PW		2009	Waters	Sarah	LittleStranger		Virago	TheManBookerPrize	Shortlist	F	Wales
2009_Weiner,Jennifer_BestFriendsForever_BS.txt	FIC	English	BS		2009	Jennifer	Weiner	BestFriendsForever					F	US
2010_Atkinson,Kate_StartedEarlyTookMyDog_MY.txt	FIC	English	MY		2010	Atkinson	Kate	StartedEarlyTookMyDog					F	UK
2010_Atwood,Margaret_TheYearoftheFlood_SF.txt	FIC	English	SF		2010	Atwood	Margaret	TheYearoftheFlood					F	Canada
2010_Birdsell,Sandra_WaitingForJoe_PW.txt	FIC	English	PW		2010	Birdsell	Sandra	WaitingForJoe		RandomHouse	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	NON	English	HIST		2010	Blum	Deborah	ThePoisonersHandbook					F	US
2010_Bujold,LoisMcMaster_Cryoburn_SF.txt	FIC	English	SF		2010	Bujold	LoisMcMaster	Cryoburn					F	US
2010_Donoghue,Emma_Room_PW.txt	FIC	English	PW		2010	Donoghue	Emma	Room		HarperCollins	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Ireland/Canada
2010_Draper,Sharon_OutofMyMind_MG.txt	FIC	English	MID		2010	Draper	Sharon	OutofMyMind					F	
2010_Erskine,Kathryn_Mockingbird_MG.txt	FIC	English	MID		2010	Erskine	Kathryn	Mockingbird					F	
2010_Frey,JM_Triptych_SF.txt	FIC	English	SF		2010	Frey	JM	Triptych					F	Canada
2010_George,Elizabeth_ThisBodyofDeath_MY.txt	FIC	English	MY		2010	George	Elizabeth	ThisBodyofDeath					F	US
2010_Gerritsen,Tess_IceCold_MY.txt	FIC	English	MY		2010	Gerritsen	Tess	IceCold					F	US
2010_Goodman,Carol_ArcadiaFalls_MY.txt	FIC	English	MY		2010	Goodman	Carol	ArcadiaFalls					F	US
2010_Gordon,Jaimy_LordofMisrule_PW.txt	FIC	English	PW		2010	Gordon	Jaimy	LordofMisrule		McPherson&Co.	TheNationalBookAwards	Winner	F	US
2010_Grant,Mira_Feed_SF.txt	FIC	English	SF		2010	Grant	Mira	Feed					F	US
2010_Grodstein,Lauren_AFriendoftheFamily_CT.txt	FIC	English	NYT		2010	Grodstein	Lauren	AFriendoftheFamily					F	US
2010_Hannah,Kristin_WinterGarden_BS.txt	FIC	English	BS		2010	Kristin	Hannah	WinterGarden					F	US
2010_King,LaurieR_TheGodoftheHive_MY.txt	FIC	English	MY		2010	King	LaurieR	TheGodoftheHive					F	US
